country,matrix_group,organism,mean_pct,std_pct,max_pct,n_ab,embed_x,embed_y,cluster_id,cluster_method,embed_method
France,meat,E. coli (ESBL/AmpC),2.3115277777777776,1.254836776496508,3.5462499999999997,3,18.231524,3.3717198,0,HDBSCAN,UMAP
Germany,animal,C. coli,37.26666666666667,36.33064707195106,78.9,6,5.616015,9.848841,2,HDBSCAN,UMAP
Germany,animal,C. jejuni,20.633333333333336,26.49274271695301,54.275,6,2.438935,10.919099,2,HDBSCAN,UMAP
Germany,animal,E. coli,13.55166666666667,16.080618510078107,48.95,15,7.8042984,4.3586016,1,HDBSCAN,UMAP
Germany,animal,E. coli (ESBL/AmpC),22.239166666666666,17.611251789220812,39.855,3,16.336456,5.290769,0,HDBSCAN,UMAP
Germany,animal,E. faecalis,18.067236706849823,31.99786058663115,94.82758620689656,12,5.504288,8.793334,2,HDBSCAN,UMAP
Germany,animal,E. faecium,14.697872749231445,24.67513262138552,74.98619894598156,12,5.5187187,8.797788,2,HDBSCAN,UMAP
Germany,animal,S. Derby,4.0,8.28078671210825,20.0,15,6.3711624,2.5029938,1,HDBSCAN,UMAP
Germany,animal,S. Enteritidis,0.2111111111111111,0.8176298175326769,3.1666666666666665,15,0.04325088,-3.2060468,-1,HDBSCAN,UMAP
Germany,animal,S. Infantis,33.333333333333336,48.795003647426654,100.0,15,5.05559,5.6540775,1,HDBSCAN,UMAP
Germany,animal,S. Typhimurium,29.333333333333332,36.92979181920098,100.0,15,8.278087,6.510966,1,HDBSCAN,UMAP
Germany,animal,S. Typhimurium (mono),19.756666666666664,37.28594079478726,92.85,15,7.240547,7.249432,1,HDBSCAN,UMAP
Germany,animal,Salmonella spp.,9.23264380952381,11.254941224952146,32.107685714285715,15,4.692286,2.9282947,1,HDBSCAN,UMAP
Germany,human,C. coli,35.14,30.74789423684165,67.1,5,3.6471903,10.057986,2,HDBSCAN,UMAP
Germany,human,C. jejuni,35.74,32.72709886317454,72.3,5,3.5943253,10.04673,2,HDBSCAN,UMAP
Germany,human,S. Derby,4.618181818181818,3.829835030864432,10.0,11,5.6751647,1.9997116,1,HDBSCAN,UMAP
Germany,human,S. Enteritidis,4.2272727272727275,6.876058596185886,20.9,11,6.3266563,0.88038766,1,HDBSCAN,UMAP
Germany,human,S. Infantis,5.545454545454547,3.700098278793048,10.3,11,5.8217645,1.8209037,1,HDBSCAN,UMAP
Germany,human,S. Kentucky,51.48181818181819,29.36030715717457,84.9,11,9.0171995,5.055654,1,HDBSCAN,UMAP
Germany,human,S. Typhimurium,6.290909090909093,5.399898988954247,15.9,11,5.6729045,2.2138546,1,HDBSCAN,UMAP
Germany,human,S. Typhimurium (mono),21.681818181818183,28.164652250003662,82.7,11,7.319467,5.836811,1,HDBSCAN,UMAP
Germany,human,Salmonella spp.,6.218181818181819,4.26914937237342,11.5,11,5.7580295,1.9219309,1,HDBSCAN,UMAP
Germany,meat,E. coli,44.45333333333334,37.099901167882734,100.0,15,9.098579,4.9000096,1,HDBSCAN,UMAP
Germany,meat,E. coli (ESBL/AmpC),8.956249999999999,7.44125,16.3975,3,16.384226,3.9129407,0,HDBSCAN,UMAP
Greece,animal,C. coli,30.600000000000005,33.868466159541384,80.6,6,4.717654,9.576781,2,HDBSCAN,UMAP
Greece,animal,C. jejuni,31.833333333333332,44.731987063696,97.0,6,2.0814693,11.628863,2,HDBSCAN,UMAP
Greece,animal,E. coli,28.62333333333333,30.345703783159124,74.25,15,8.349594,5.6103578,1,HDBSCAN,UMAP
Greece,animal,E. coli (ESBL/AmpC),15.549444444444445,11.421471049121735,26.21,3,16.421753,5.2573495,0,HDBSCAN,UMAP
Greece,animal,S. Derby,6.666666666666667,17.59328876372492,50.0,15,5.903196,5.034862,1,HDBSCAN,UMAP
Greece,animal,S. Enteritidis,14.0,35.01020259459071,100.0,15,4.0881305,4.8311415,1,HDBSCAN,UMAP
Greece,animal,S. Infantis,20.416666666666668,29.695461547312856,68.75,15,4.6338334,5.577687,1,HDBSCAN,UMAP
Greece,animal,S. Kentucky,3.8133333333333335,8.04705950435727,21.45,15,3.6945107,3.6404657,1,HDBSCAN,UMAP
Greece,animal,Salmonella spp.,10.33611111111111,15.50100184507628,39.375,15,4.4580264,4.1448884,1,HDBSCAN,UMAP
Greece,human,C. coli,41.10000000000001,36.7260125796417,88.9,5,3.679385,10.087003,2,HDBSCAN,UMAP
Greece,human,C. jejuni,38.52,40.745883227634174,90.7,5,3.717084,10.196422,2,HDBSCAN,UMAP
Greece,human,S. Enteritidis,11.908333333333333,19.690489551757693,48.7,12,4.272946,4.2921777,1,HDBSCAN,UMAP
Greece,human,S. Infantis,14.908333333333337,14.855452524139737,42.1,12,7.2347155,4.2471185,1,HDBSCAN,UMAP
Greece,human,S. Typhimurium,10.025,15.82082201059443,51.2,12,5.7733035,3.9766665,1,HDBSCAN,UMAP
Greece,human,Salmonella spp.,9.200000000000001,12.658163014793692,41.7,12,5.326881,3.508088,1,HDBSCAN,UMAP
Greece,meat,E. coli (ESBL/AmpC),7.600694444444444,5.449239471867543,12.396249999999998,3,16.875551,4.0502715,0,HDBSCAN,UMAP
Hungary,animal,C. coli,29.708333333333332,33.31878474174391,72.4,6,5.235925,10.140543,2,HDBSCAN,UMAP
Hungary,animal,C. jejuni,16.25,21.832888036171486,54.85,6,2.3232472,10.921556,2,HDBSCAN,UMAP
Hungary,animal,E. coli,15.039111111111113,17.965528520654633,46.43333333333334,15,7.613796,4.551383,1,HDBSCAN,UMAP
Hungary,animal,E. coli (ESBL/AmpC),14.526608187134505,8.269126827530929,21.473333333333333,3,16.542837,5.1439586,0,HDBSCAN,UMAP
Hungary,animal,S. Derby,5.38,8.848664144539399,25.8,15,5.430764,2.9637568,1,HDBSCAN,UMAP
Hungary,animal,S. Enteritidis,3.75,8.358592670334607,26.25,15,3.6222785,3.736488,1,HDBSCAN,UMAP
Hungary,animal,S. Infantis,22.68430014430015,33.19421055120958,80.53376623376623,15,4.9714704,5.5385942,1,HDBSCAN,UMAP
Hungary,animal,S. Kentucky,32.5,47.668872742822735,100.0,15,4.5627627,5.6751785,1,HDBSCAN,UMAP
Hungary,animal,S. Typhimurium,13.319999999999999,16.88618200947576,33.3,15,6.294619,3.6097362,1,HDBSCAN,UMAP
Hungary,animal,S. Typhimurium (mono),12.5,25.877458475338283,62.5,15,6.5981774,6.3329554,1,HDBSCAN,UMAP
Hungary,animal,Salmonella spp.,13.341363636363637,19.086160610754174,50.195454545454545,15,4.658188,4.5026207,1,HDBSCAN,UMAP
Hungary,human,C. coli,44.333333333333336,45.181559660256674,91.0,3,3.9324281,10.455846,2,HDBSCAN,UMAP
Hungary,human,C. jejuni,45.46666666666667,44.185103070303384,88.6,3,3.9205048,10.40405,2,HDBSCAN,UMAP
